filepath,pii_types_found
EclipseDataSpaceConnector/core/data-plane/data-plane-util/src/test/java/org/eclipse/edc/connector/dataplane/util/sink/ParallelSinkTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/policy-monitor/policy-monitor-core/src/main/java/org/eclipse/edc/connector/policy/monitor/manager/PolicyMonitorManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-api-configuration/src/main/java/org/eclipse/edc/protocol/dsp/api/configuration/DspApiConfigurationExtension.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-catalog/dsp-catalog-api/src/main/java/org/eclipse/edc/protocol/dsp/catalog/api/controller/DspCatalogApiController.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-catalog/dsp-catalog-api/src/main/java/org/eclipse/edc/protocol/dsp/catalog/api/validation/CatalogRequestMessageValidator.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-catalog/dsp-catalog-api/src/test/java/org/eclipse/edc/protocol/dsp/catalog/api/validation/CatalogRequestMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-catalog/dsp-catalog-transform/src/main/java/org/eclipse/edc/protocol/dsp/catalog/transform/to/JsonObjectToCatalogRequestMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-http-core/src/main/java/org/eclipse/edc/protocol/dsp/DspHttpCoreExtension.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-http-core/src/main/java/org/eclipse/edc/protocol/dsp/dispatcher/DspHttpRemoteMessageDispatcherImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-http-core/src/test/java/org/eclipse/edc/protocol/dsp/dispatcher/PostDspHttpRequestFactoryTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/api/controller/DspNegotiationApiController.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractAgreementMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractAgreementVerificationMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractNegotiationEventMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractNegotiationTerminationMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractOfferMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-api/src/test/java/org/eclipse/edc/protocol/dsp/negotiation/api/validation/ContractRequestMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractAgreementMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractAgreementVerificationMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractNegotiationEventMessageTransformer.java,[IP_ADDRESS_6A]
